ID,種別,方向,始発駅,終着駅,たけふ新_発,北府_発,スポーツ公園_発,家久_発,サンドーム西_発,西鯖江_発,西山公園_発,水落_発,神明_発,鳥羽中_発,三十八社_発,泰澄の里_発,浅水_発,ハーモニーホール_発,清明_発,江端_発,ベル前_発,花堂_発,赤十字前_発,商工会議所前_発,足羽山公園口_発,福井城址大名町_着,福井駅_着,福井駅_発,福井城址大名町_発,仁愛女子高校_発,田原町_着,田原町_発,福大前西福井_発,日華化学前_発,八ツ島_発,新田塚_発,鷲塚針原_着,鷲塚針原_発,たけふ新_着
下り1番目,急行,下り,たけふ新_発,福井駅,5:30,5:32,→,5:35,→,5:39,→,5:43,5:45,→,→,→,5:52,→,→,→,5:57,→,6:00,→,→,6:08,6:15,,,,,,,,,,,,
下り2番目,普通,下り,たけふ新_発,田原町,6:00,6:02,6:04,6:06,6:09,6:11,6:13,6:15,6:18,6:20,6:22,6:25,6:27,6:29,6:31,6:33,6:35,6:37,6:39,6:41,6:44,6:47,,,6:48,6:51,6:54,,,,,,,,
下り3番目,普通,下り,たけふ新_発,福井駅,6:18,6:20,6:22,6:24,6:27,6:29,6:31,6:33,6:37,6:40,6:42,6:44,6:46,6:48,6:50,6:52,6:54,6:56,6:58,7:01,7:03,7:06,7:13,,,,,,,,,,,,
下り4番目,普通,下り,たけふ新_発,田原町,6:28,6:30,6:32,6:34,6:37,6:39,6:41,6:43,6:46,6:49,6:51,6:53,6:57,6:59,7:01,7:03,7:05,7:07,7:09,7:12,7:14,7:17,,,7:20,7:22,7:25,,,,,,,,
下り5番目,普通,下り,たけふ新_発,福大前西福井,6:48,6:50,6:52,6:54,6:57,7:00,7:02,7:04,7:08,7:10,7:13,7:15,7:18,7:20,7:22,7:25,7:27,7:29,7:32,7:34,7:37,7:40,,,7:43,7:45,7:48,7:50,7:51,止,,,,,
下り6番目,急行,下り,たけふ新_発,田原町,7:02,7:04,→,7:07,→,7:12,→,7:15,7:18,→,→,→,7:29,→,→,→,7:35,→,7:38,7:41,7:43,7:46,,,7:48,7:51,7:54,,,,,,,,
下り7番目,普通,下り,たけふ新_発,福大前西福井,7:09,7:11,7:13,7:15,7:18,7:21,7:23,7:25,7:28,7:31,7:35,7:37,7:39,7:41,7:44,7:46,7:48,7:50,7:53,7:55,7:58,8:01,,,8:04,8:06,8:09,8:12,8:14,止,,,,,
下り8番目,急行,下り,たけふ新_発,田原町,7:23,7:25,→,7:28,→,7:33,→,7:37,7:40,→,→,→,7:49,→,→,→,7:54,→,7:58,8:00,8:03,8:06,,,8:08,8:11,8:14,,,,,,,,
下り9番目,普通,下り,たけふ新_発,田原町,7:36,7:38,7:40,7:42,7:45,7:48,7:50,7:53,7:56,7:59,8:02,8:04,8:07,8:09,8:11,8:13,8:15,8:17,8:20,8:22,8:25,8:28,8:35,8:40,8:46,8:48,8:51,,,,,,,,
下り10番目,普通,下り,たけふ新_発,田原町,8:04,8:06,8:08,8:10,8:13,8:15,8:17,8:20,8:23,8:25,8:28,8:30,8:32,8:34,8:36,8:38,8:39,8:41,8:44,8:46,8:49,8:52,9:00,9:03,9:09,9:11,9:13,,,,,,,,
下り11番目,普通,下り,たけふ新_発,田原町,8:35,8:37,8:39,8:41,8:44,8:47,8:49,8:51,8:54,8:57,8:59,9:01,9:05,9:07,9:09,9:11,9:13,9:15,9:17,9:20,9:22,9:25,9:32,9:35,9:41,9:43,9:45,,,,,,,,
下り12番目,急行,下り,たけふ新_発,福井駅,9:01,9:03,→,9:06,→,9:11,→,9:14,9:17,→,→,→,9:24,→,→,→,9:30,→,9:34,→,→,9:42,9:49,,,,,,,,,,,,
下り13番目,普通,下り,たけふ新_発,鷲塚針原,9:13,9:15,9:17,9:19,9:22,9:24,9:26,9:28,9:31,9:34,9:36,9:38,9:45,9:47,9:49,9:51,9:53,9:55,9:57,9:59,10:02,10:05,10:12,10:15,10:20,10:22,10:25,10:28,10:30,10:32,10:33,10:35,10:39,,
